के	क े |
विषयों	व ि ष य ो ं |
चूर्ण	च ू र ् ण |
रिंग	र ि ं ग |
थ	थ |
ज्वार	ज ् व ा र |
स्वंय	स ् व ं य |
साल्	स ा ल ् |
ठण्ड	ठ ण ् ड |
अटैक	अ ट ै क |
लुप्त	ल ु प ् त |
एन्फोर्समेंट	ए न ् फ ो र ् स म े ं ट |
नैयर	न ै य र |
अन्याय	अ न ् य ा य |
लगाये	ल ग ा य े |
मनाने	म न ा न े |
बैटिंग	ब ै ट ि ं ग |
आलोचक	आ ल ो च क |
फेयरीलैंड	फ े य र ी ल ै ं ड |
वायसराय	व ा य स र ा य |
कोट्टायम	क ो ट ् ट ा य म |
रफ्ता	र फ ् त ा |
फराटे	फ र ा ट े |
नारों	न ा र ो ं |
कम्पार्टमेंट	क म ् प ा र ् ट म े ं ट |
भरता	भ र त ा |
आयुष	आ य ु ष |
डवलपमेंट	ड व ल प म े ं ट |
राज्यीय	र ा ज ् य ी य |
स्किल	स ् क ि ल |
अमृतराज	अ म ृ त र ा ज |
दत्तात्रे	द त ् त ा त ् र े |
वाइस	व ा इ स |
जानकार	ज ा न क ा र |
चुनिंदा	च ु न ि ं द ा |
तंत्रों	त ं त ् र ो ं |
कार्ड्स	क ा र ् ड ् स |
डालो	ड ा ल ो |
पढ़	प ढ ़ |
वैशाली	व ै श ा ल ी |
उरी	उ र ी |
एकल	ए क ल |
उज्ज्वल	उ ज ् ज ् व ल |
आक्टर	आ क ् ट र |
हब	ह ब |
टॉक	ट ॉ क |
खाल	ख ा ल |
क्षतिग्रस्त	क ् ष त ि ग ् र स ् त |
एक्स	ए क ् स |
देहात	द े ह ा त |
प्रणालियों	प ् र ण ा ल ि य ो ं |
मानकीकरण	म ा न क ी क र ण |
पायदान	प ा य द ा न |
त्योहार	त ् य ो ह ा र |
इराडी	इ र ा ड ी |
स्मरण	स ् म र ण |
बीज	ब ी ज |
रखेगी	र ख े ग ी |
विहीन	व ि ह ी न |
पहाड़ों	प ह ा ड ़ ो ं |
तीव्रता	त ी व ् र त ा |
अवश्य	अ व श ् य |
लियोनारडो	ल ि य ो न ा र ड ो |
खेलता	ख े ल त ा |
मृदा	म ृ द ा |
गीले	ग ी ल े |
पेशेवर	प े श े व र |
सीडी	स ी ड ी |
ग्राफिक	ग ् र ा फ ि क |
हंगर	ह ं ग र |
कानूनों	क ा न ू न ो ं |
पंक्ति	प ं क ् त ि |
गोलकीपर	ग ो ल क ी प र |
डिमांड	ड ि म ा ं ड |
पहाड़ी	प ह ा ड ़ ी |
जरूरतमंदों	ज र ू र त म ं द ो ं |
अधिग्रहण	अ ध ि ग ् र ह ण |
ऑटो	ऑ ट ो |
चंड़ीगढ़	च ं ड ़ ी ग ढ ़ |
धर्मनिरपेक्षता	ध र ् म न ि र प े क ् ष त ा |
आवेदनकर्ताओं	आ व े द न क र ् त ा ओ ं |
संभाल	स ं भ ा ल |
मॉनिटर	म ॉ न ि ट र |
पुलिसकर्मियों	प ु ल ि स क र ् म ि य ो ं |
अमूमन	अ म ू म न |
रीढ़	र ी ढ ़ |
मंदी	म ं द ी |
सबको	स ब क ो |
दिला	द ि ल ा |
वाम	व ा म |
दलहन	द ल ह न |
प्रतिरोधक	प ् र त ि र ो ध क |
पीकर	प ी क र |
प्रोग्राम	प ् र ो ग ् र ा म |
जीविका	ज ी व ि क ा |
मास	म ा स |
गलतियों	ग ल त ि य ो ं |
गन्धारी	ग न ् ध ा र ी |
बुलंद	ब ु ल ं द |
सामित	स ा म ि त |
संडास	स ं ड ा स |
विशिष्टता	व ि श ि ष ् ट त ा |
जिद	ज ि द |
उम्मीदें	उ म ् म ी द े ं |
जरिया	ज र ि य ा |
महाराणा	म ह ा र ा ण ा |
पहुंचकर	प ह ु ं च क र |
तेन्तालीस	त े न ् त ा ल ी स |
जनगणना	ज न ग ण न ा |
कसती	क स त ी |
वैलंटाइन	व ै ल ं ट ा इ न |
एेसा	ए े स ा |
किडनैप	क ि ड न ै प |
रैलियां	र ै ल ि य ा ं |
पुनर्गठित	प ु न र ् ग ठ ि त |
काटी	क ा ट ी |
हिब्रू	ह ि ब ् र ू |
बुखार	ब ु ख ा र |
झगड़े	झ ग ड ़ े |
प्लाज्मोडियम	प ् ल ा ज ् म ो ड ि य म |
पहुंचना	प ह ु ं च न ा |
कार्नर	क ा र ् न र |
होश	ह ो श |
निर्माताओं	न ि र ् म ा त ा ओ ं |
फिरंग	फ ि र ं ग |
करदाताओं	क र द ा त ा ओ ं |
लिटरेचर	ल ि ट र े च र |
उठ	उ ठ |
तबतक	त ब त क |
पैन	प ै न |
डांसिंग	ड ा ं स ि ं ग |
थिरके	थ ि र क े |
चुग	च ु ग |
वीरू	व ी र ू |
बसंती	ब स ं त ी |
प्रपोज	प ् र प ो ज |
छूटने	छ ू ट न े |
उत्सर्जन	उ त ् स र ् ज न |
गारंटी	ग ा र ं ट ी |
वाणित्य	व ा ण ि त ् य |
कैलाश	क ै ल ा श |
मुआवजा	म ु आ व ज ा |
कार्यों	क ा र ् य ो ं |
बिक्रेता	ब ि क ् र े त ा |
खरीदार	ख र ी द ा र |
जॉनी	ज ॉ न ी |
उन्चास	उ न ् च ा स |
स्वस्थ	स ् व स ् थ |
इतवारी	इ त व ा र ी |
सत्तानवे	स त ् त ा न व े |
डटकर	ड ट क र |
बच्चा	ब च ् च ा |
शाहिद	श ा ह ि द |
नगदी	न ग द ी |
लियाम	ल ि य ा म |
संजीव	स ं ज ी व |
खेतान	ख े त ा न |
फर्वरी	फ र ् व र ी |
रोटी	र ो ट ी |
कपड़ा	क प ड ़ ा |
पहुंचाना	प ह ु ं च ा न ा |
हनन	ह न न |
आरपीएससी	आ र प ी ए स स ी |
टमाटर	ट म ा ट र |
शुचिता	श ु च ि त ा |
लायी	ल ा य ी |
शिकागो	श ि क ा ग ो |
येल	य े ल |
ईस्ट	ई स ् ट |
बदहवास	ब द ह व ा स |
अभ्यर्थियों	अ भ ् य र ् थ ि य ो ं |
उन्हे	उ न ् ह े |
विजुवलाइज	व ि ज ु व ल ा इ ज |
जीके	ज ी क े |
दरारों	द र ा र ो ं |
बान्ग्लादेश	ब ा न ् ग ् ल ा द े श |
निरंकुश	न ि र ं क ु श |
थप्पड	थ प ् प ड |
सुहाना	स ु ह ा न ा |
भारित	भ ा र ि त |
कोपेल	क ो प े ल |
प्रांतों	प ् र ा ं त ो ं |
इस्तीफे	इ स ् त ी फ े |
निसंदेह	न ि स ं द े ह |
हरजीत	ह र ज ी त |
करवाते	क र व ा त े |
पबना	प ब न ा |
मुख्तार	म ु ख ् त ा र |
अब्बास	अ ब ् ब ा स |
कॉन्सटेबल	क ॉ न ् स ट े ब ल |
यूनीक	य ू न ी क |
दिखते	द ि ख त े |
कॉमेडी	क ॉ म े ड ी |
मिट्टी	म ि ट ् ट ी |
बल्ला	ब ल ् ल ा |
स्मिथ	स ् म ि थ |
रविचंद्रन	र व ि च ं द ् र न |
पुनर्गठन	प ु न र ् ग ठ न |
अवमानना	अ व म ा न न ा |
विकेटकीपर	व ि क े ट क ी प र |
थ्रो	थ ् र ो |
एक्टिविस्ट	ए क ् ट ि व ि स ् ट |
रुक	र ु क |
पूछने	प ू छ न े |
सुरक्षाबलों	स ु र क ् ष ा ब ल ो ं |
मोनालीसा	म ो न ा ल ी स ा |
पंचायती	प ं च ा य त ी |
श्रद्धा	श ् र द ् ध ा |
थ्रेड	थ ् र े ड |
कटर	क ट र |
बनें	ब न े ं |
पटवारी	प ट व ा र ी |
नियमानुसार	न ि य म ा न ु स ा र |
तब्बू	त ब ् ब ू |
लुभाना	ल ु भ ा न ा |
शिशु	श ि श ु |
अपनाया	अ प न ा य ा |
दर्जा	द र ् ज ा |
सीखा	स ी ख ा |
कगार	क ग ा र |
शोक	श ो क |
रजनीकन्त	र ज न ी क न ् त |
सौरव	स ौ र व |
गोदाम	ग ो द ा म |
चौदहवें	च ौ द ह व े ं |
वोटर्स	व ो ट र ् स |
बेटो	ब े ट ो |
कर्तव्यों	क र ् त व ् य ो ं |
निर्वहन	न ि र ् व ह न |
